SKU,LIFE SPAN,BREED SIZE,HEALTH CONDITIONS,FOOD TYPE,PRODUCT NAME,RAW PROTEIN,RAW FATS & OILS,RAW FIBER,RAW ASHES,CARBOHYDRATE(NFE),CALCIUM,PHOSP-HORUS,OMEGA-6,OMEGA-3,SODIUM,POTAS-SIUM,MAGNE-SIUM,DHA (mg/kg),EPA (mg/kg),GLUCOSA-MINE,CHONDRO-ITIN,TAURINE (mg/kg),EM (kcal/kg),EM (mj/kg)
FD0111,ADULT,SMALL,NORMAL/OBESITY,DRY,CANINE ADULT SMALL & MINIATURE LIGHT WITH CHICKEN,26.1,11.7,13.6,,42.7,0.91,0.67,3.32,0.44,0.32,0.77,0.13,,,,,,3410,"14,26"
FD0112,SENIOR,LARGE,NORMAL,DRY,CANINE MATURE ADULT 5+ ACTIVE LONGEVITY LARGE BREED WITH CHICKEN,19.4,16,3.4,,56.2,0.84,0.62,4.13,1.22,0.28,0.7,0.11,,,347,488,1163,4000,"16,73"
FD0113,SENIOR,MEDIUM,NORMAL/GASTROINTESTINAL DISORDERS,DRY,CANINE MATURE ADULT 7+ ACTIVE LONGEVITY MEDIUM WITH CHICKEN,19.6,15.5,2.2,,57.8,0.74,0.58,3.18,1.03,0.27,0.75,0.11,,,,,1003,4030,"16,85"
FD0114,SENIOR,SMALL,NORMAL,DRY,CANINE MATURE ADULT 7+ ACTIVE LONGEVITY MINI WITH CHICKEN,19.5,15.7,2.1,4.92,57.8,0.74,0.57,3.2,1.03,0.26,0.76,0.1,,,383,552,1000,4030,"16,87"
FD0115,SENIOR,ALL,NORMAL,DRY,CANINE MATURE ADULT 7+ ALL BREEDS LAMB & RICE,18.7,16.1,2.8,,57.7,0.74,0.67,3.64,1.29,0.16,0.79,0.13,,,,,984,4030,"16,85"
FD0116,SENIOR,MEDIUM/LARGE,NORMAL/OBESITY,DRY,CANINE MATURE ADULT 7+ LIGHT WITH CHICKEN,19.7,8.6,11.2,,55.5,0.75,0.61,2.92,0.83,0.18,0.79,0.12,,,,,,3380,"14,14"
FD0117,SENIOR,SMALL,NORMAL/OBESITY,DRY,CANINE MATURE ADULT 7+ MINI LIGHT WITH CHICKEN,19.5,11.9,13.3,,49.5,0.91,0.68,2.8,0.9,0.33,0.98,0.12,,,473,,,3420,"14,29"
FD0118,SENIOR,SMALL,NORMAL/OBESITY,DRY,CANINE MATURE ADULT 7+ SMALL & MINIATURE WITH CHICKEN,19.9,15.9,2.4,,56.1,0.88,0.65,3.91,1.04,0.27,0.79,0.11,,,,,,4010,"16,78"
FD0119,SENIOR,SMALL,NORMAL/OBESITY,DRY,CANINE SENIOR 11+ SMALL & MINIATURE WITH CHICKEN ,21.6,15.7,1.7,,55.5,0.88,0.66,3.27,1.23,0.27,0.73,0.1,,,,,,4030,"16,88"
FD0120,PUPPY,SMALL/MEDIUM,GASTROINTESTINAL DISORDERS/GROWTH/PREGNANCY & LACTATION,CAN,PUPPY ALL BREEDS SAVOURY CHICKEN CAN,27.9,23.6,1.3,,39.5,1.33,0.96,4.02,0.37,0.4,0.83,0.13,,,,,,4370,"18,27"
FD0121,ADULT,SMALL/MEDIUM,NORMAL,CAN,CANINE ADULT ALL BREEDS SAVOURY CHICKEN CAN,24.3,15.7,1.1,,50,0.63,0.54,3.61,0.33,0.22,0.67,0.09,,,,,,4010,"17,12"
FD0122,ADULT,SMALL/MEDIUM,NORMAL,CAN,CANINE ADULT ALL BREEDS SAVOURY TURKEY CAN,24.3,15.7,1.1,,50,0.63,0.54,3.61,0.33,0.22,0.67,0.09,,,,,,4010,"17,12"
FD0123,ADULT,ALL,NORMAL,CAN,CANINE ADULT LIGHT ORIGINAL CAN,19.5,8.4,10.4,,56.4,0.62,0.48,3.69,0.33,0.32,0.66,0.11,,,,,,3370,"14,12"
FD0124,ADULT,ALL,NORMAL,CAN,CANINE ADULT PERFECT WEIGHT WITH CHICKEN & VEGETABLES CAN,28.1,12.8,11.8,,40.9,0.91,0.65,1.92,0.87,0.36,0.82,0.14,,,,,,3370,"14,12"
FD0125,SENIOR,ALL,NORMAL,CAN,CANINE MATURE ADULT 7+ ALL BREEDS SAVOURY CHICKEN CAN,18.6,12.9,1.9,,61.9,0.66,0.57,3.16,0.31,0.16,0.7,0.11,,,,,,3920,"16,39"
FD0126,PUPPY,SMALL,NORMAL,DRY,PUPPY SMALL BREED,33,20,5,7,23,1.5,1.1,2.7,1,,,,0.3,0.3,1400,900,,3660,
FD0127,PUPPY,MEDIUM,NORMAL,DRY,PUPPY & JUNIOR,33,20,5,7,23,1.5,1.1,2.7,1,,,,0.3,0.3,1400,900,,3660,
FD0128,PUPPY,LARGE,NORMAL,DRY,PUPPY LARGE BREED,33,15,6,7,27,1.4,1,2.4,1.2,,,,0.35,0.35,1400,900,,3375,
FD0129,ADULT,SMALL,NORMAL,DRY,ADULT SMALL BREED,31,17,5,7,28,1.4,1.1,2.6,1,,,,0.3,0.3,1400,900,,3510,
FD0130,ALL,ALL,NORMAL,DRY,COBB CHICKEN & GREENS,29,17,5,7,30,1.3,1,2.6,1,,,,0.3,0.3,1200,900,,3510,
FD0131,ADULT,LARGE,NORMAL,DRY,ADULT LARGE BREED,31,15,6,7,29,1.4,1.1,2.4,1.2,,,,0.35,0.35,1500,900,,3375,
FD0132,ALL,ALL,NORMAL,DRY,SPORT & AGILITY,35,22,5,8,18,1.7,1.1,2.7,1.2,,,,0.35,0.35,1400,1000,,3725,
FD0133,ALL,ALL,OBESITY,DRY,LIGHT & FIT,35,11,8,7,26,1.7,1.1,2.2,0.9,,,,0.3,0.3,1500,1000,,3070,
FD0134,SENIOR,ALL,NORMAL,DRY,SENIOR DOG,33,14,6,7,28,1.5,1.1,2.2,1,,,,0.3,0.3,1500,900,,3325,
FD0135,ALL,ALL,DIET-SENSITIVE,DRY,GRASS-FED LAMB,31,15,5,7.5,,1.5,1.1,1.8,0.8,,,,0.15,0.1,600,800,,3393,
FD0136,PUPPY,ALL,NORMAL,DRY,PUPPY,38,20,5,8,20,1.3/1.6,1/1.3,3,1.2,,,,0.6,0.3,1500,1200,,4080,
FD0137,PUPPY,LARGE,NORMAL,DRY,PUPPY LARGE,38,16,6,8,22.5,1.2/1.5,1/1.3,2.6,1,,,,0.6,0.3,1400,1200,,3800,
FD0138,ADULT,ALL,NORMAL,DRY,SIX FISH DOG,38,18,5,,,1.4/1.7,1.1/1.4,2.6,1.8,,,,1,0.6,1250,1000,,4010,
FD0139,ADULT,ALL,NORMAL,DRY,ADULT DOG,38,18,5,8,,1.3/1.6,1/1.3,3,1.1,,,,0.6,0.3,1400,1200,,3980,
FD0140,SENIOR,ALL,NORMAL,DRY,SENIOR DOG,38,15,8,8,25,1.2/1.5,.9/1.2,2.5,1,,,,0.6,0.3,1400,1200,,3400,
FD0141,ADULT,ALL,NORMAL,DRY,TUNDRA,38,18,5,9.5,,1.9/2.2,1.5/1.8,1.8,1.4,,,,0.5,0.4,600,800,,3840,
